response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0455,0.0000,0.0229,0.0000,0.0089,0.0124,400,0.0244
0.0215,0.0000,0.0000,0.0000,0.0089,0.0125,400,0.0485
0.0046,0.0000,0.0000,0.0002,0.0005,0.0033,400,0.0655
0.0389,0.0000,0.0269,0.0000,0.0084,0.0128,400,0.0315
0.0301,0.0000,0.0000,0.0000,0.0164,0.0136,400,0.0411
0.0463,0.0000,0.0283,0.0131,0.0084,0.0144,400,0.0254
0.0360,0.0000,0.0000,0.0001,0.0183,0.0138,400,0.0359
0.0324,0.0000,0.0000,0.0000,0.0183,0.0139,400,0.0398
0.0322,0.0000,0.0000,0.0000,0.0181,0.0140,400,0.0401
0.0318,0.0000,0.0000,0.0000,0.0176,0.0141,400,0.0407
0.0318,0.0000,0.0000,0.0000,0.0175,0.0142,400,0.0407
0.0317,0.0000,0.0000,0.0000,0.0173,0.0142,400,0.0410
0.0324,0.0000,0.0000,0.0000,0.0173,0.0144,400,0.0405
0.0337,0.0000,0.0000,0.0000,0.0185,0.0149,400,0.0393
0.0244,0.0000,0.0000,0.0009,0.0089,0.0144,400,0.0489
0.0169,0.0000,0.0000,0.0000,0.0022,0.0145,400,0.0565
0.0073,0.0000,0.0000,0.0007,0.0015,0.0049,400,0.0662
0.0251,0.0000,0.0000,0.0001,0.0088,0.0161,400,0.0485
0.0245,0.0000,0.0000,0.0004,0.0026,0.0147,400,0.0493
0.0306,0.0000,0.0000,0.0055,0.0053,0.0149,400,0.0435
0.0067,0.0000,0.0000,0.0008,0.0008,0.0050,400,0.0676
0.0210,0.0000,0.0000,0.0000,0.0056,0.0152,400,0.0534
0.0564,0.0000,0.0251,0.0000,0.0097,0.0172,400,0.0182
0.0480,0.0000,0.0281,0.0000,0.0088,0.0171,400,0.0266
0.0227,0.0000,0.0000,0.0001,0.0067,0.0156,400,0.0523
0.0539,0.0000,0.0243,0.0200,0.0090,0.0178,400,0.0212
0.0247,0.0000,0.0000,0.0000,0.0085,0.0159,400,0.0506
0.0225,0.0000,0.0000,0.0000,0.0065,0.0159,400,0.0528
0.0223,0.0000,0.0000,0.0000,0.0063,0.0159,400,0.0532
0.0568,0.0000,0.0066,0.0000,0.0197,0.0179,400,0.0188
0.0355,0.0000,0.0000,0.0000,0.0180,0.0173,400,0.0402
0.0297,0.0000,0.0000,0.0000,0.0134,0.0161,400,0.0461
0.0300,0.0000,0.0000,0.0000,0.0137,0.0162,400,0.0458
0.0258,0.0000,0.0000,0.0160,0.0009,0.0084,400,0.0512
0.0230,0.0000,0.0000,0.0153,0.0014,0.0062,400,0.0541
0.0107,0.0000,0.0000,0.0008,0.0039,0.0057,400,0.0665
0.0227,0.0000,0.0000,0.0000,0.0007,0.0058,400,0.0547
0.0214,0.0000,0.0000,0.0000,0.0005,0.0059,400,0.0589
0.0236,0.0000,0.0000,0.0000,0.0006,0.0059,400,0.0568
